node_id,Road/Intersection Name,Area Name,latitude,longitude,mapping_status
0,Hosur Road,Electronic City,,,coordinates_not_provided
1,Silk Board Junction,Electronic City,,,coordinates_not_provided
2,Ballari Road,Hebbal,,,coordinates_not_provided
3,Hebbal Flyover,Hebbal,,,coordinates_not_provided
4,100 Feet Road,Indiranagar,,,coordinates_not_provided
5,CMH Road,Indiranagar,,,coordinates_not_provided
6,Jayanagar 4th Block,Jayanagar,,,coordinates_not_provided
7,South End Circle,Jayanagar,,,coordinates_not_provided
8,Sarjapur Road,Koramangala,,,coordinates_not_provided
9,Sony World Junction,Koramangala,,,coordinates_not_provided
10,Anil Kumble Circle,M.G. Road,,,coordinates_not_provided
11,Trinity Circle,M.G. Road,,,coordinates_not_provided
12,ITPL Main Road,Whitefield,,,coordinates_not_provided
13,Marathahalli Bridge,Whitefield,,,coordinates_not_provided
14,Tumkur Road,Yeshwanthpur,,,coordinates_not_provided
15,Yeshwanthpur Circle,Yeshwanthpur,,,coordinates_not_provided
